species,total_length,weight
Stolo,83,2.2
Stolo,79,2.75
Stolo,81,3.07
Stolo,79,2.89
Stolo,71,2.13
Stolo,67,1.87
Stolo,81,3.1
Stolo,91,4.43
Stolo,72,2.19
Stolo,77,2.58
Stolo,72,1.95
Stolo,70,1.88
Stolo,77,2.76
Stolo,73,2.06
Stolo,68,1.65
Stolo,73,2.3
Stolo,85,3.74
Stolo,74,2.52
Stolo,80,2.97
Stolo,71,2.16
Stolo,81,3.06
Stolo,78,2.85
Stolo,78,3.08
Stolo,85,3.66
Stolo,62,1.58
Stolo,53,0.93
Stolo,82,3.23
Stolo,70,1.94
Stolo,68,1.79
Stolo,69,1.97
Stolo,83,3.55
Stolo,82,3.25
Stolo,66,1.65
Stolo,80,3.34
Stolo,81,3.24
Stolo,58,1.18
Stolo,75,2.3
Stolo,90,4.11
Stolo,71,2.14
Stolo,85,3.89
Stolo,74,2.43
Stolo,68,1.81
Stolo,73,2.25
Stolo,88,4.23
Stolo,92,4.3
Stolo,85,3.3
Stolo,84,3.15
Stolo,86,4.13
Stolo,91,4.52
Stolo,88,3.93
Stolo,82,3.28
Stolo,84,3.4
Stolo,89,4.27
Stolo,98,4.3
Stolo,84,3.63
Stolo,77,2.76
Stolo,83,3
Stolo,86,4.28
Stolo,86,3.69
Stolo,82,3.28
Stolo,73,2.37
Stolo,80,2.86
Stolo,83,3.5
Stolo,85,3.22
Stolo,78,2.76
Stolo,82,2.99
Stolo,86,3.73
Stolo,84,3.44
Stolo,85,3.18
Stolo,82,3.03
Stolo,88,3.95
Stolo,85,3.38
Stolo,80,3.17
Stolo,83,3.53
Stolo,81,3.55
Stolo,86,3.95
Stolo,83,3.39
Stolo,81,2.98
Stolo,82,3.05
Stolo,81,2.8
Stolo,74,2.16
Stolo,78,2.48
Stolo,88,4.16
Stolo,86,3.59
Stolo,86,3.7
Stolo,80,2.61
Stolo,81,2.84
Stolo,88,4.44
Stolo,77,2.65
Stolo,85,3.04
Stolo,78,2.63
Stolo,85,3.5
Stolo,81,2.81
Stolo,78,2.71
Stolo,80,2.87
Stolo,78,2.81
Stolo,98,4.36
Stolo,72,2.33
Stolo,68,1.79
Stolo,77,2.88
Stolo,81,3.46
Stolo,90,4.76
Stolo,85,3.98
Stolo,80,3.09
Stolo,80,2.93
Stolo,77,2.96
Stolo,82,4.05
Stolo,81,3.66
Stolo,66,1.8
Stolo,86,4.06
Stolo,86,3.89
Stolo,81,3.67
Stolo,82,3.64
Stolo,78,3.13
Stolo,85,3.96
Stolo,83,3.61
Stolo,65,1.43
Stolo,73,2.43
Stolo,75,2.39
Stolo,75,2.89
Stolo,84,3.79
Stolo,73,2.32
Stolo,78,2.85
Stolo,80,2.81
Stolo,90,4.86
Stolo,75,2.34
Stolo,85,2.61
Stolo,73,2.39
Stolo,79,2.84
Stolo,89,4.49
Stolo,80,3.02
Stolo,77,2.83
Stolo,76,2.7
Stolo,72,2.32
Stolo,74,2.48
Stolo,78,3.04
Stolo,70,2.06
Stolo,72,2.94
Stolo,73,2.23
Stolo,73,2.7
Stolo,71,2.5
Stolo,73,2.22
Stolo,62,1.14
Stolo,80,3.27
Stolo,85,3.32
Stolo,75,2.49
Stolo,83,3.1
Stolo,81,3.24
Stolo,75,2.41
Stolo,75,2.61
Stolo,84,3.2
Stolo,82,3.16
Stolo,73,2.29
Stolo,83,3.7
Stolo,81,3.49
Stolo,64,1.45
Stolo,73,2.66
Stolo,80,3.19
Stolo,83,3.43
Stolo,74,2.58
Stolo,77,2.65
Stolo,71,2.13
Stolo,71,2.19
Stolo,73,2.16
Stolo,79,2.81
Stolo,73,2.41
Stolo,86,3.94
Stolo,85,3.7
Stolo,75,2.89
Stolo,81,3.61
Stolo,76,2.4
Stolo,85,3.55
Stolo,82,3.38
Stolo,75,2.75
Stolo,75,2.41
Stolo,83,3.72
Stolo,83,3.16
Stolo,73,2.45
Stolo,76,2.88
Stolo,78,3.61
Stolo,80,3.37
Stolo,71,2.47
Stolo,77,2.5
Stolo,72,2.44
Stolo,82,3.7
Stolo,83,3.8
Stolo,81,3.62
Stolo,84,3.84
Stolo,81,3.1
Stolo,78,3.02
Stolo,83,3.7
Stolo,70,2.18
Stolo,76,2.78
Stolo,70,2.19
Stolo,82,3.58
Stolo,81,3.58
Stolo,78,3.09
Stolo,80,2.9
Stolo,72,2.3
Stolo,85,3.65
Stolo,81,3.34
Stolo,69,1.94
Stolo,75,2.57
Stolo,81,3.24
Stolo,77,3.64
Stolo,86,4.28
Stolo,70,2.08
Stolo,82,3.62
Stolo,80,3.22
Stolo,85,2.6
Stolo,68,1.81
Stolo,69,2.16
Stolo,81,3.5
Stolo,70,2.05
Stolo,67,1.97
Stolo,70,2.32
Stolo,79,2.93
Stolo,73,2.63
Stolo,69,2.19
Stolo,65,1.68
Stolo,73,2.66
Stolo,77,2.95
Stolo,74,2.73
Stolo,73,2.52
Stolo,76,2.95
Stolo,72,2.38
Stolo,72,2.29
Stolo,60,1.48
Stolo,77,3.02
Stolo,74,2.62
Stolo,65,1.77
Stolo,72,2.61
Stolo,69,2.14
Stolo,68,1.9
Stolo,69,1.92
Stolo,63,1.39
Stolo,64,1.71
Stolo,60,1.2
Stolo,67,1.98
Stolo,61,1.31
Stolo,60,1.32
Stolo,70,2.25
Stolo,79,3.28
Stolo,62,1.44
Stolo,52,0.85
Stolo,60,1.37
Stolo,80,3.49
Stolo,71,2.08
Stolo,66,1.74
Stolo,60,1.28
Stolo,59,1.28
Stolo,62,1.49
Stolo,57,1.16
Stolo,57,1.15
Stolo,70,2.13
Stolo,70,2.12
Stolo,64,1.87
