lon,lat,year,temperature
-177,85,2021,3.72583325
-177,87,1990,0.91499998
-177,87,2020,3.796666582
-177,87,2021,3.72583325
-177,89,1990,0.91499998
-177,89,2020,3.796666582
-177,89,2021,3.72583325
-175,-89,1990,-0.207499995
-175,-89,2020,0.482499989
-175,-89,2021,-1.06083331
-175,-87,1990,-0.207499995
-175,-87,2020,0.482499989
-175,-87,2021,-1.06083331
-175,-85,1990,-0.207499995
-175,-85,2020,0.482499989
-175,-85,2021,-1.06083331
-175,-83,1990,-0.207499995
-175,-83,2020,0.482499989
-175,-83,2021,-1.06083331
-175,-81,1990,0.069166665
-175,-81,2020,1.139999975
-175,-81,2021,0.156666663
-175,-79,1990,0.127499997
-175,-79,2020,1.219999973
-175,-79,2021,0.30916666
-175,-77,1990,0.239999995
-175,-77,2020,1.339166637
-175,-77,2021,0.544166655
-175,-75,1990,0.244166661
-175,-75,2020,1.379166636
-175,-75,2021,0.683333318
-175,-73,1990,0.245833328
-175,-73,2020,1.419999968
-175,-73,2021,0.822499982
-175,-71,1990,0.232499995
-175,-71,2020,1.468333301
-175,-71,2021,1.001666644
-175,-69,1990,0.251666661
-175,-69,2020,1.496666633
-175,-69,2021,1.259999972
-175,-67,1990,0.044999999
-175,-67,2020,0.064999999
-175,-67,2021,-0.059999999
-175,-65,1990,0.174166663
-175,-65,2020,0.169999996
-175,-65,2021,-0.032222222
-175,-63,1990,0.162222219
-175,-63,2020,0.219999995
-175,-63,2021,0.01
-175,-61,1990,0.164166663
-175,-61,2020,0.285833327
-175,-61,2021,0.107499998
-175,-59,1990,0.139166664
-175,-59,2020,0.402499991
-175,-59,2021,0.234999995
-175,-57,1990,0.040833332
-175,-57,2020,0.486666656
-175,-57,2021,0.371666658
-175,-55,1990,-0.025833333
-175,-55,2020,0.513333322
-175,-55,2021,0.482499989
-175,-53,1990,-0.01
-175,-53,2020,0.513333322
-175,-53,2021,0.57583332
-175,-51,1990,0.053333332
-175,-51,2020,0.521666655
-175,-51,2021,0.674166652
